episode,reward
1,-21.0
2,-21.0
3,-20.98
4,-20.9802
5,-20.980398
6,-20.97059402
7,-20.9708880798
8,-20.961179199002
9,-20.96156740701198
10,-20.961951732941863
11,-20.952332215612444
12,-20.94280889345632
13,-20.94338080452176
14,-20.93394699647654
15,-20.934607526511776
16,-20.93526145124666
17,-20.915908836734193
18,-20.91674974836685
19,-20.90758225088318
20,-20.898506428374347
21,-20.899521364090603
22,-20.880526150449697
23,-20.871720888945198
24,-20.873003680055746
25,-20.87427364325519
26,-20.87553090682264
27,-20.866775597754412
28,-20.86810784177687
29,-20.8594267633591
30,-20.85083249572551
31,-20.852324170768256
32,-20.843800929060574
33,-20.84536291976997
34,-20.81690929057227
35,-20.818740197666546
36,-20.82055279568988
37,-20.81234726773298
38,-20.804223795055652
39,-20.806181557105095
40,-20.798119741534045
41,-20.800138544118706
42,-20.80213715867752
43,-20.784115787090748
44,-20.776274629219838
45,-20.77851188292764
46,-20.78072676409836
47,-20.782919496457378
48,-20.785090301492804
49,-20.757239398477875
50,-20.749667004493094
51,-20.752170334448163
52,-20.75464863110368
53,-20.757102144792643
54,-20.75953112334472
55,-20.761935812111272
56,-20.76431645399016
57,-20.766673289450257
58,-20.769006556555755
59,-20.761316490990197
60,-20.753703326080295
61,-20.746166292819492
62,-20.748704629891296
63,-20.751217583592386
64,-20.753705407756463
65,-20.7561683536789
66,-20.75860667014211
67,-20.76102060344069
68,-20.763410397406286
69,-20.765776293432225
70,-20.768118530497905
71,-20.770437345192928
72,-20.772732971741
73,-20.77500564202359
74,-20.777255585603356
75,-20.779483029747322
76,-20.771688199449848
77,-20.73397131745535
78,-20.726631604280794
79,-20.729365288237986
80,-20.732071635355606
81,-20.724750919002048
82,-20.717503409812025
83,-20.720328375713905
84,-20.723125091956767
85,-20.725893841037202
86,-20.70863490262683
87,-20.70154855360056
88,-20.704533068064556
89,-20.70748773738391
90,-20.700412860010072
91,-20.69340873140997
92,-20.68647464409587
93,-20.67960989765491
94,-20.66281379867836
95,-20.66618566069158
96,-20.669523804084662
97,-20.672828566043815
98,-20.666100280383375
99,-20.669439277579542
100,-20.67274488480375
101,-20.67601743595571
102,-20.679257261596153
103,-20.682464688980193
104,-20.68564004209039
105,-20.688783641669488
106,-20.681895805252793
107,-20.685076847200268
108,-20.658226078728266
109,-20.651643817940982
110,-20.645127379761572
111,-20.648676105963958
112,-20.65218934490432
113,-20.655667451455276
114,-20.659110776940725
115,-20.662519669171317
116,-20.665894472479604
117,-20.659235527754806
118,-20.66264317247726
119,-20.656016740752488
120,-20.659456573344965
121,-20.652862007611514
122,-20.6463333875354
123,-20.629870053660046
124,-20.633571353123447
125,-20.62723563959221
126,-20.63096328319629
127,-20.634653650364328
128,-20.638307113860684
129,-20.62192404272208
130,-20.62570480229486
131,-20.62944775427191
132,-20.633153276729193
133,-20.6368217439619
134,-20.63045352652228
135,-20.62414899125706
136,-20.617907501344487
137,-20.61172842633104
138,-20.60561114206773
139,-20.60955503064705
140,-20.61345948034058
141,-20.607324885537174
142,-20.611251636681803
143,-20.605139120314984
144,-20.609087729111835
145,-20.612996851820718
146,-20.60686688330251
147,-20.60079821446948
148,-20.60479023232479
149,-20.59874233000154
150,-20.592754906701522
151,-20.596827357634506
152,-20.60085908405816
153,-20.60485049321758
154,-20.598801988285402
155,-20.602813968402547
156,-20.586785828718522
157,-20.580917970431337
158,-20.585108790727023
159,-20.589257702819754
160,-20.583365125791556
161,-20.57753147453364
162,-20.5717561597883
163,-20.566038598190417
164,-20.570378212208514
165,-20.564674430086427
166,-20.559027685785562
167,-20.563437408927708
168,-20.55780303483843
169,-20.562225004490045
170,-20.546602754445146
171,-20.541136726900692
172,-20.545725359631685
173,-20.53026810603537
174,-20.514965424975017
175,-20.519815770725266
176,-20.51461761301801
177,-20.50947143688783
178,-20.51437672251895
179,-20.49923295529376
180,-20.494240625740822
181,-20.499298219483414
182,-20.50430523728858
183,-20.509262184915695
184,-20.514169563066538
185,-20.499027867435874
186,-20.504037588761516
187,-20.5089972128739
188,-20.493907240745163
189,-20.48896816833771
190,-20.474078486654335
191,-20.46933770178779
192,-20.474644324769912
193,-20.479897881522213
194,-20.48509890270699
195,-20.490247913679923
196,-20.485345434543124
197,-20.490491980197692
198,-20.485587060395716
199,-20.49073118979176
200,-20.49582387789384
201,-20.500865639114902
202,-20.505856982723753
203,-20.510798412896516
204,-20.50569042876755
205,-20.510633524479875
206,-20.505527189235075
207,-20.500471917342722
208,-20.495467198169294
209,-20.500512526187602
210,-20.485507400925727
211,-20.48065232691647
212,-20.485845803647305
213,-20.490987345610833
214,-20.496077472154724
215,-20.501116697433176
216,-20.506105530458846
217,-20.481044475154256
218,-20.486234030402713
219,-20.491371690098685
220,-20.4964579731977
221,-20.49149339346572
222,-20.486578459531064
223,-20.481712674935753
224,-20.486895548186396
225,-20.492026592704534
226,-20.497106326777487
227,-20.502135263509714
228,-20.50711391087462
229,-20.492042771765874
230,-20.497122344048215
231,-20.502151120607735
232,-20.50712960940166
233,-20.502058313307643
234,-20.507037730174567
235,-20.50196735287282
236,-20.506947679344094
237,-20.501878202550653
238,-20.506859420525146
239,-20.511790826319896
240,-20.5166729180567
241,-20.52150618887613
242,-20.51629112698737
243,-20.521128215717496
244,-20.47591693356032
245,-20.48115776422472
246,-20.47634618658247
247,-20.471582724716647
248,-20.47686689746948
249,-20.472098228494787
250,-20.47737724620984
251,-20.472603473747743
252,-20.477877439010268
253,-20.483098664620165
254,-20.478267677973964
255,-20.483485001194225
256,-20.478650151182283
257,-20.46386364967046
258,-20.459225013173757
259,-20.46463276304202
260,-20.459986435411597
261,-20.45538657105748
262,-20.450832705346905
263,-20.446324378293436
264,-20.4518611345105
265,-20.447342523165396
266,-20.452869097933743
267,-20.458340406954406
268,-20.45375700288486
269,-20.459219432856013
270,-20.464627238527452
271,-20.469980966142177
272,-20.475281156480758
273,-20.48052834491595
274,-20.48572306146679
275,-20.490865830852123
276,-20.475957172543602
277,-20.471197600818165
278,-20.476485624809985
279,-20.471720768561884
280,-20.467003560876265
281,-20.4723335252675
282,-20.477610190014826
283,-20.48283408811468
284,-20.488005747233533
285,-20.493125689761197
286,-20.488194432863583
287,-20.483312488534946
288,-20.488479363649596
289,-20.4935945700131
290,-20.48865862431297
291,-20.49377203806984
292,-20.48883431768914
293,-20.47394597451225
294,-20.479206514767128
295,-20.484414449619457
296,-20.47957030512326
297,-20.474774602072028
298,-20.460026856051307
299,-20.465426587490796
300,-20.460772321615888
301,-20.456164598399727
302,-20.45160295241573
303,-20.457086922891573
304,-20.452516053662656
305,-20.44799089312603
306,-20.453510984194768
307,-20.44897587435282
308,-20.454486115609292
309,-20.4599412544532
310,-20.455341841908666
311,-20.450788423489577
312,-20.436280539254682
313,-20.431917733862136
314,-20.437598556523515
315,-20.43322257095828
316,-20.428890345248696
317,-20.43460144179621
318,-20.44025542737825
319,-20.415852873104466
320,-20.42169434437342
321,-20.42747740092969
322,-20.423202626920393
323,-20.42897060065119
324,-20.424680894644677
325,-20.42043408569823
326,-20.416229744841246
327,-20.422067447392834
328,-20.427846772918908
329,-20.42356830518972
330,-20.40933262213782
331,-20.40523929591644
332,-20.401186902957278
333,-20.407175033927707
334,-20.41310328358843
335,-20.408972250752544
336,-20.39488252824502
337,-20.400933702962572
338,-20.406924365932948
339,-20.41285512227362
340,-20.368726571050882
341,-20.375039305340373
342,-20.38128891228697
343,-20.3874760231641
344,-20.37360126293246
345,-20.369865250303135
346,-20.366166597800103
347,-20.342504931822102
348,-20.349079882503883
349,-20.355589083678844
350,-20.352033192842054
351,-20.348512860913633
352,-20.345027732304494
353,-20.35157745498145
354,-20.358061680431636
355,-20.35448106362732
356,-20.360936252991046
357,-20.367326890461136
358,-20.373653621556524
359,-20.37991708534096
360,-20.38611791448755
361,-20.372256735342674
362,-20.348534167989246
363,-20.355048826309353
364,-20.36149833804626
365,-20.3678833546658
366,-20.374204521119143
367,-20.38046247590795
368,-20.37665785114887
369,-20.382891272637384
370,-20.37906235991101
371,-20.3852717363119
372,-20.39141901894878
373,-20.397504828759295
374,-20.393529780471702
375,-20.399594482666988
376,-20.395598537840318
377,-20.391642552461914
378,-20.397726126937297
379,-20.403748865667925
380,-20.409711377011245
381,-20.41561426324113
382,-20.401458120608723
383,-20.397443539402634
384,-20.403469104008607
385,-20.409434412968523
386,-20.405340068838836
387,-20.41128666815045
388,-20.407173801468943
389,-20.413102063454254
390,-20.388971042819712
391,-20.385081332391515
392,-20.3812305190676
393,-20.377418213876922
394,-20.373644031738152
395,-20.37990759142077
396,-20.386108515506564
397,-20.382247430351498
398,-20.388424956047984
399,-20.384540706487503
400,-20.360695299422627
401,-20.357088346428398
402,-20.333517462964114
403,-20.340182288334475
404,-20.33678046545113
405,-20.34341266079662
406,-20.349978534188654
407,-20.35647874884677
408,-20.362913961358302
409,-20.34928482174472
410,-20.345791973527273
411,-20.352334053792003
412,-20.358810713254083
413,-20.36522260612154
414,-20.371570380060326
415,-20.36785467625972
416,-20.374176129497126
417,-20.380434368202156
418,-20.386630024520134
419,-20.392763724274932
420,-20.398836087032183
421,-20.40484772616186
422,-20.400799248900242
423,-20.396791256411237
424,-20.402823343847125
425,-20.388795110408655
426,-20.36490715930457
427,-20.371258087711524
428,-20.367545506834407
429,-20.373870051766065
430,-20.380131351248405
431,-20.38633003773592
432,-20.37246673735856
433,-20.378742069984977
434,-20.384954649285127
435,-20.391105102792277
436,-20.397194051764355
437,-20.403222111246713
438,-20.399189890134245
439,-20.405197991232903
440,-20.401146011320574
441,-20.377134551207366
442,-20.383363205695293
443,-20.38952957363834
444,-20.39563427790196
445,-20.40167793512294
446,-20.39766115577171
447,-20.403684544213995
448,-20.409647698771856
449,-20.39555122178414
450,-20.401595709566298
451,-20.397579752470634
452,-20.40360395494593
453,-20.38956791539647
454,-20.385672236242502
455,-20.381815513880078
456,-20.387997358741277
457,-20.374117385153866
458,-20.370376211302325
459,-20.366672449189302
460,-20.37300572469741
461,-20.379275667450436
462,-20.36548291077593
463,-20.371828081668173
464,-20.368109800851492
465,-20.374428702842977
466,-20.360684415814546
467,-20.367077571656402
468,-20.37340679593984
469,-20.37967272798044
470,-20.375876000700636
471,-20.38211724069363
472,-20.388296068286696
473,-20.394413107603828
474,-20.39046897652779
475,-20.38656428676251
476,-20.392698643894885
477,-20.39877165745594
478,-20.40478394088138
479,-20.410736101472565
480,-20.40662874045784
481,-20.392562453053262
482,-20.39863682852273
483,-20.3946504602375
484,-20.400703955635127
485,-20.406696916078776
486,-20.402629946917987
487,-20.378603647448806
488,-20.38481761097432
489,-20.390969434864576
490,-20.39705974051593
491,-20.39308914311077
492,-20.379158251679666
493,-20.38536666916287
494,-20.38151300247124
495,-20.38769787244653
496,-20.393820893722065
497,-20.399882684784846
498,-20.395883857936997
499,-20.391925019357625
500,-20.39800576916405
501,-20.38402571147241
502,-20.390185454357688
503,-20.38628359981411
504,-20.39242076381597
505,-20.38849655617781
506,-20.394611590616034
507,-20.400665474709875
508,-20.366658819962776
509,-20.362992231763148
510,-20.359362309445515
511,-20.36576868635106
512,-20.34211099948755
513,-20.348689889492675
514,-20.34520299059775
515,-20.34175096069177
516,-20.34833345108485
517,-20.324850116574
518,-20.321601615408262
519,-20.318385599254178
520,-20.325201743261637
521,-20.33194972582902
522,-20.33863022857073
523,-20.33524392628502
524,-20.33189148702217
525,-20.338572572151946
526,-20.345186846430426
527,-20.35173497796612
528,-20.348217628186458
529,-20.354735451904595
530,-20.35118809738555
531,-20.347676216411692
532,-20.354199454247574
533,-20.350657459705097
534,-20.347150885108046
535,-20.353679376256967
536,-20.360142582494397
537,-20.346541156669453
538,-20.35307574510276
539,-20.349544987651733
540,-20.346049537775215
541,-20.342589042397464
542,-20.339163151973487
543,-20.345771520453752
544,-20.342313805249212
545,-20.34889066719672
546,-20.34540176052475
547,-20.341947742919505
548,-20.34852826549031
549,-20.345042982835405
550,-20.34159255300705
551,-20.34817662747698
552,-20.334694861202212
553,-20.33134791259019
554,-20.338034433464287
555,-20.324654089129645
556,-20.33140754823835
557,-20.338093472755965
558,-20.344712538028407
559,-20.351265412648125
560,-20.357752758521645
561,-20.34417523093643
562,-20.350733478627067
563,-20.357226143840798
564,-20.36365388240239
565,-20.360017343578363
566,-20.336417170142578
567,-20.343052998441152
568,-20.34962246845674
569,-20.356126243772174
570,-20.36256498133445
571,-20.36893933152111
572,-20.375249938205897
573,-20.371497438823837
574,-20.3677824644356
575,-20.374104639791245
576,-20.370363593393332
577,-20.366659957459397
578,-20.372993357884805
579,-20.359263424305958
580,-20.3556707900629
581,-20.36211408216227
582,-20.358492941340646
583,-20.36490801192724
584,-20.361258931807967
585,-20.367646342489888
586,-20.37396987906499
587,-20.380230180274342
588,-20.3764278784716
589,-20.35266359968688
590,-20.359136963690013
591,-20.355545594053112
592,-20.35199013811258
593,-20.348470236731455
594,-20.35498553436414
595,-20.3614356790205
596,-20.367821322230295
597,-20.36414310900799
598,-20.37050167791791
599,-20.356796661138734
600,-20.363228694527347
601,-20.349596407582073
602,-20.346100443506252
603,-20.33263943907119
604,-20.32931304468048
605,-20.326019914233672
606,-20.322759715091333
607,-20.32953211794042
608,-20.336236796761018
609,-20.342874428793408
610,-20.349445684505476
611,-20.34595122766042
612,-20.342491715383815
613,-20.339066798229975
614,-20.325676130247675
615,-20.322419368945198
616,-20.329195175255748
617,-20.295903223503192
618,-20.27294419126816
619,-20.27021474935548
620,-20.277512601861925
621,-20.274737475843306
622,-20.281990101084872
623,-20.279170200074024
624,-20.27637849807328
625,-20.27361471309255
626,-20.280878565961626
627,-20.28806978030201
628,-20.29518908249899
629,-20.302237191674
630,-20.30921481975726
631,-20.286122671559685
632,-20.27326144484409
633,-20.270528830395648
634,-20.277823542091692
635,-20.285045306670774
636,-20.292194853604066
637,-20.289272905068024
638,-20.296380176017344
639,-20.29341637425717
640,-20.290482210514597
641,-20.29757738840945
642,-20.304601614525357
643,-20.311555598380103
644,-20.318440042396304
645,-20.32525564197234
646,-20.332003085552618
647,-20.30868305469709
648,-20.30559622415012
649,-20.28254026190862
650,-20.289714859289532
651,-20.286817710696635
652,-20.293949533589668
653,-20.29101003825377
654,-20.28809993787123
655,-20.295218938492518
656,-20.29226674910759
